entity_id,ingredient_name,odor_descriptor,molecule_count
330,Cinnamomum,slightly medicinal odor reminiscent of thyme@aromatic odor,1
330,Cinnamomum,slightly spicy odor@banana-like fruity odor,1
330,Cinnamomum,somewhat green and remotely lavender-like odor of moderate tenacity.@sweet,1
330,Cinnamomum,somewhat like peppermint,1
330,Cinnamomum,somewhat resembling the odor of benzaldehyde@... almond-like odor ...,1
330,Cinnamomum,somewhat sickening sweet and acrid odor,1
330,Cinnamomum,spice-clove odor,1
330,Cinnamomum,spicy note@strong odor of cinnamon,1
330,Cinnamomum,strong,1
330,Cinnamomum,suffocating,1
330,Cinnamomum,sweet,1
330,Cinnamomum,sweet floral fresh,1
330,Cinnamomum,sweet rose odor@pleasant geranium-like odor@pleasant,1
330,Cinnamomum,sweet rose@the odor of pure nerol is sweet,1
330,Cinnamomum,sweetish aromatic odor@mild pleasant odor@when pure,1
330,Cinnamomum,sweetish smell@pleasant aromatic vanilla odor,1
330,Cinnamomum,synthetic acid is odorless,1
330,Cinnamomum,tarry odor,1
330,Cinnamomum,tarry odor@somewhat sickeningly sweet and acrid,1
330,Cinnamomum,thymol odor@medicinal smoke odor,1
330,Cinnamomum,turpentine-like odor@terpene odor,1
330,Cinnamomum,unpleasant odor@disagreeable odor like garlic@pungent,1
330,Cinnamomum,unpleasant@choking odor,1
330,Cinnamomum,waxy,1
330,Cinnamomum,with a citrus nuance,1
330,Cinnamomum,wood odor@flowery-fresh odor and reminiscent of lily of the valley,1
330,Cinnamomum,woody or resinous aroma@piney,1
172,Cocos Nucifera,odorless,7
172,Cocos Nucifera,characteristic,4
172,Cocos Nucifera,powerful,4
172,Cocos Nucifera,fatty,3
172,Cocos Nucifera,floral odor,3
172,Cocos Nucifera,fuel-like,3
172,Cocos Nucifera,pungent,3
172,Cocos Nucifera,acrid,2
172,Cocos Nucifera,fruity,2
172,Cocos Nucifera,green,2
172,Cocos Nucifera,odor of hyacinth@pleasant,2
172,Cocos Nucifera,pleasant,2
172,Cocos Nucifera,slight,2
172,Cocos Nucifera,slight peppermint odor@characteristic odor similar to menthol,2
172,Cocos Nucifera,strong lemon odor,2
172,Cocos Nucifera,waxy,2
172,Cocos Nucifera,winey,2
172,Cocos Nucifera,acetone odor,1
172,Cocos Nucifera,acetone-like odor@sweet,1
172,Cocos Nucifera,acrid odor,1
172,Cocos Nucifera,aldehyde odor,1
172,Cocos Nucifera,almond-like odor.,1
172,Cocos Nucifera,almost floral odor when highly purified,1
172,Cocos Nucifera,also similar to cananga@medicinal odor,1
172,Cocos Nucifera,and orange-like odor,1
172,Cocos Nucifera,apple-like odor@powerful penetrating,1
172,Cocos Nucifera,burnt sweet@hot fat@disagreeable choking odor,1
172,Cocos Nucifera,but aromatic,1
172,Cocos Nucifera,but traces of hydrocarbon impurity may impart an oily and/or rotten egg odor,1
172,Cocos Nucifera,buttery,1
172,Cocos Nucifera,buttery odor@bland,1
172,Cocos Nucifera,characteristic ether-like odor reminiscent of pineapple.@fragrant odor@ether-like,1
172,Cocos Nucifera,characteristic fruity odor (on dilution)@strong,1
172,Cocos Nucifera,characteristic goat-like odor,1
172,Cocos Nucifera,characteristic odor ... becoming more pronounced and less agreeable on aging or exposure to air@penetrating odor@acquires terebinthinate odor upon oxidation@pleasant lemon-like@characteristic orange odor@characteristic odor of orange peels@citrus odor,1
172,Cocos Nucifera,characteristic odor or volatile oil of almond@odor resembling oil of bitter almond,1
172,Cocos Nucifera,characteristic rose-like odor@pure pea has an extremely mild roselike odor. >@99% pure vary in odor because of the impurities present.,1
172,Cocos Nucifera,characteristic sweetish,1
172,Cocos Nucifera,characteristic@sweet alcohol@pleasant,1
172,Cocos Nucifera,characteristically disagreeable,1
172,Cocos Nucifera,citrus,1
172,Cocos Nucifera,citrus odor,1
172,Cocos Nucifera,cognac odor,1
172,Cocos Nucifera,decayed cabbage.,1
172,Cocos Nucifera,delicate flowery odor@mild,1
172,Cocos Nucifera,disagreeable,1
172,Cocos Nucifera,disagreeable odor@disagreeable odor.,1
172,Cocos Nucifera,distinctive ethereal odor,1
172,Cocos Nucifera,extremely sharp@extremely acrid,1
172,Cocos Nucifera,extremely sharp@pungent odor,1
172,Cocos Nucifera,faint,1
172,Cocos Nucifera,faint aromatic odor,1
172,Cocos Nucifera,faint burning odor,1
172,Cocos Nucifera,faint pleasant aromatic odor,1
172,Cocos Nucifera,fatty odor,1
172,Cocos Nucifera,fatty odor@coconut aroma@slight odor,1
172,Cocos Nucifera,fish-like odor when warm,1
172,Cocos Nucifera,floral,1
172,Cocos Nucifera,floral odor reminiscent of wine@oily,1
172,Cocos Nucifera,floral odor@has a sweet honey-like odor when diluted@the odor of the concentrated solution is suffocating and unpleasant.,1
172,Cocos Nucifera,floral-fatty odor@citrus odor@similar to that of an orange peel@penetrating,1
172,Cocos Nucifera,fragrant,1
172,Cocos Nucifera,fragrant odor,1
172,Cocos Nucifera,fragrant odor resembling that of vanilla beans.@hay-like bittersweet odor,1
172,Cocos Nucifera,fragrant odor@fruity odor,1
172,Cocos Nucifera,fresh orange rose odor@penetrating aromatic odor,1
172,Cocos Nucifera,fresh-fruit,1
172,Cocos Nucifera,fruity odor,1
172,Cocos Nucifera,fruity odor@characteristic odor,1
172,Cocos Nucifera,fruity odor@fruity with a brandy note,1
172,Cocos Nucifera,fruity-acid odor@unpleasant and irritating odor@slight odor,1
172,Cocos Nucifera,fruity-floral,1
172,Cocos Nucifera,fruity@characteristic odor similar to acetaldehyde@pungent,1
172,Cocos Nucifera,green grass odor@sharp,1
172,Cocos Nucifera,honey & orris-like (iris florentina) odor@fatty coconut,1
172,Cocos Nucifera,like almond@... bitter,1
172,Cocos Nucifera,like oil of bay,1
172,Cocos Nucifera,mint- or acetone-like odor,1
172,Cocos Nucifera,mustard-like odor,1
172,Cocos Nucifera,nauseating@burnt,1
172,Cocos Nucifera,odor of lavender@sweet,1
172,Cocos Nucifera,odor of rotten cabbage@sulfidy@powerful,1
172,Cocos Nucifera,odor similar to that of quinoline@unpleasant odor,1
172,Cocos Nucifera,odorless@weak unpleasant odor@available forms have very slightly acrid odor,1
172,Cocos Nucifera,oily odor,1
172,Cocos Nucifera,oily@weak citrus-lime odor,1
172,Cocos Nucifera,or having an odor resembling that of ozone@... slightly sharp odor ...,1
172,Cocos Nucifera,orange-rose odor@floral,1
172,Cocos Nucifera,otherwise exhibits characteristic odor of feces@unpleasant odor in high concentration but pleasant in dilute solution.@light jasmine odor,1
172,Cocos Nucifera,peculiar lard-like odor,1
172,Cocos Nucifera,penetrating fruity odor@characteristic banana,1
172,Cocos Nucifera,peppermint odor,1
172,Cocos Nucifera,peppermint odor /dl-menthol/@cooling odor /89-78-1/,1
172,Cocos Nucifera,pronounced fatty odor that develops a floral character on dilution,1
172,Cocos Nucifera,pungent odor,1
172,Cocos Nucifera,pungent odor@penetrating fruity odor,1
172,Cocos Nucifera,pungent odor@strong,1
172,Cocos Nucifera,pungent@moderately sharp,1
172,Cocos Nucifera,pure sulfur is odorless,1
172,Cocos Nucifera,quinone odor@vapors have a chlorine-like odor@very strong buttery odor in dilute solution@strong odor,1
172,Cocos Nucifera,rancid odor,1
172,Cocos Nucifera,rancid odor@faint tallow-like odor when spectroscopically pure.,1
172,Cocos Nucifera,rosy,1
172,Cocos Nucifera,sharp,1
172,Cocos Nucifera,sharp persistent odor,1
172,Cocos Nucifera,sickening@nauseating fish-like odor.,1
172,Cocos Nucifera,slightly pungent disagreeable,1
172,Cocos Nucifera,slightly spicy odor@banana-like fruity odor,1
172,Cocos Nucifera,somewhat green and remotely lavender-like odor of moderate tenacity.@sweet,1
172,Cocos Nucifera,somewhat like peppermint,1
172,Cocos Nucifera,spice-clove odor,1
172,Cocos Nucifera,spicy note@strong odor of cinnamon,1
172,Cocos Nucifera,strong,1
172,Cocos Nucifera,strong odor,1
172,Cocos Nucifera,strong odor reminiscent of coconut,1
172,Cocos Nucifera,suffocating,1
172,Cocos Nucifera,sweet,1
172,Cocos Nucifera,sweet rose odor@pleasant geranium-like odor@pleasant,1
172,Cocos Nucifera,sweetish smell@pleasant aromatic vanilla odor,1
172,Cocos Nucifera,synthetic acid is odorless,1
172,Cocos Nucifera,the odor should be faint with no rancidity.,1
172,Cocos Nucifera,unpleasant odor@disagreeable odor like garlic@pungent,1
172,Cocos Nucifera,unpleasant@choking odor,1
172,Cocos Nucifera,woody,1
172,Cocos Nucifera,yogurt odor,1
327,Elattaria,odorless,4
327,Elattaria,characteristic,3
327,Elattaria,fatty,3
327,Elattaria,floral odor,3
327,Elattaria,pungent,3
327,Elattaria,acrid,2
327,Elattaria,camphor-like odor,2
327,Elattaria,citrus odor,2
327,Elattaria,green,2
327,Elattaria,odor of hyacinth@pleasant,2
327,Elattaria,pleasant,2
327,Elattaria,powerful,2
327,Elattaria,slight peppermint odor@characteristic odor similar to menthol,2
327,Elattaria,strong lemon odor,2
327,Elattaria,...floral-fruity odor,1
327,Elattaria,acetone odor,1
327,Elattaria,acetone-like odor@sweet,1
327,Elattaria,acrid odor,1
327,Elattaria,aldehyde odor,1
327,Elattaria,almond-like odor.,1
327,Elattaria,almost floral odor when highly purified,1
327,Elattaria,also similar to cananga@medicinal odor,1
327,Elattaria,apple-like odor@powerful penetrating,1
327,Elattaria,aromatic,1
327,Elattaria,burnt sweet@hot fat@disagreeable choking odor,1
327,Elattaria,but weaker@penetrating,1
327,Elattaria,buttery,1
327,Elattaria,camphoraceous,1
327,Elattaria,characteristic ether-like odor reminiscent of pineapple.@fragrant odor@ether-like,1
327,Elattaria,characteristic fruity odor (on dilution)@strong,1
327,Elattaria,characteristic odor ... becoming more pronounced and less agreeable on aging or exposure to air@penetrating odor@acquires terebinthinate odor upon oxidation@pleasant lemon-like@characteristic orange odor@characteristic odor of orange peels@citrus odor,1
327,Elattaria,characteristic odor of pine@odor of turpentine,1
327,Elattaria,characteristic odor or volatile oil of almond@odor resembling oil of bitter almond,1
327,Elattaria,characteristic rose-like odor@pure pea has an extremely mild roselike odor. >@99% pure vary in odor because of the impurities present.,1
327,Elattaria,characteristic sweetish,1
327,Elattaria,characteristic turpentine odor@dry,1
327,Elattaria,characteristic@sweet alcohol@pleasant,1
327,Elattaria,cooling,1
327,Elattaria,decayed cabbage.,1
327,Elattaria,delicate flowery odor@mild,1
327,Elattaria,disagreeable,1
327,Elattaria,disagreeable odor@disagreeable odor.,1
327,Elattaria,disagreeable odor@suffocating odor of fusel oil@slightly suffocating@nonresidual alcoholic,1
327,Elattaria,distinctive ethereal odor,1
327,Elattaria,extremely sharp@extremely acrid,1
327,Elattaria,extremely sharp@pungent odor,1
327,Elattaria,faint,1
327,Elattaria,faint aromatic odor,1
327,Elattaria,faint pleasant aromatic odor,1
327,Elattaria,fish-like odor when warm,1
327,Elattaria,floral,1
327,Elattaria,floral odor with balsamic and sweet tones and is strongly reminiscent of violet flowers.@sweet-floral odor,1
327,Elattaria,floral odor@has a sweet honey-like odor when diluted@the odor of the concentrated solution is suffocating and unpleasant.,1
327,Elattaria,floral odor@odor of citronella oil,1
327,Elattaria,floral-fruity odor recalling bergamot and pear.,1
327,Elattaria,fragrant,1
327,Elattaria,fragrant and penetrating odor@penetrating aromatic odor,1
327,Elattaria,fragrant odor,1
327,Elattaria,fragrant odor resembling that of vanilla beans.@hay-like bittersweet odor,1
327,Elattaria,fragrant odor@fruity odor,1
327,Elattaria,fragrant@faint,1
327,Elattaria,fresh orange rose odor@penetrating aromatic odor,1
327,Elattaria,fresh rosy odor@rose odor,1
327,Elattaria,fruity,1
327,Elattaria,fruity odor,1
327,Elattaria,fruity odor@characteristic odor,1
327,Elattaria,fruity odor@fruity with a brandy note,1
327,Elattaria,fruity odor@resemble orange flowers,1
327,Elattaria,fruity-acid odor@unpleasant and irritating odor@slight odor,1
327,Elattaria,fruity-floral,1
327,Elattaria,fruity@characteristic odor similar to acetaldehyde@pungent,1
327,Elattaria,gasoline-like odor,1
327,Elattaria,green grass odor@sharp,1
327,Elattaria,has a weak citrus odor,1
327,Elattaria,hydrocarbon odor,1
327,Elattaria,intense lemon-citronella-rose odor,1
327,Elattaria,it has a warm,1
327,Elattaria,like almond@... bitter,1
327,Elattaria,like oil of bay,1
327,Elattaria,lilac,1
327,Elattaria,mint- or acetone-like odor,1
327,Elattaria,minty lime oil odor,1
327,Elattaria,mustard-like odor,1
327,Elattaria,musty odor@odor like that of amyl alcohol,1
327,Elattaria,odor of lavender@sweet,1
327,Elattaria,odor of rotten cabbage@sulfidy@powerful,1
327,Elattaria,odor of thyme@a spicy-herbal,1
327,Elattaria,odor similar to that of bergamot oil and french lavender@typical floral odor free from camphoraceous and terpenic notes@floral,1
327,Elattaria,odorless@weak unpleasant odor@available forms have very slightly acrid odor,1
327,Elattaria,oily@weak citrus-lime odor,1
327,Elattaria,or having an odor resembling that of ozone@... slightly sharp odor ...,1
327,Elattaria,orange-rose odor@floral,1
327,Elattaria,otherwise exhibits characteristic odor of feces@unpleasant odor in high concentration but pleasant in dilute solution.@light jasmine odor,1
327,Elattaria,peculiar lard-like odor,1
327,Elattaria,peculiar odor,1
327,Elattaria,penetrating fruity odor@characteristic banana,1
327,Elattaria,peppermint odor /dl-menthol/@cooling odor /89-78-1/,1
327,Elattaria,pine,1
327,Elattaria,piney,1
327,Elattaria,piney wood with trephy nuances...citrus and green minty and green spicy notes@insipid odor@camphor-like,1
327,Elattaria,pleasant odor,1
327,Elattaria,pleasant@terpene odor,1
327,Elattaria,pungent odor,1
327,Elattaria,pungent odor@penetrating fruity odor,1
327,Elattaria,pungent odor@strong,1
327,Elattaria,pungent@moderately sharp,1
327,Elattaria,quinone odor@vapors have a chlorine-like odor@very strong buttery odor in dilute solution@strong odor,1
327,Elattaria,rancid odor,1
327,Elattaria,rancid odor@faint tallow-like odor when spectroscopically pure.,1
327,Elattaria,reminiscent of bergamot and it also has some pear character@bergamot-lavender odor@sweet,1
327,Elattaria,reminiscent of violets,1
327,Elattaria,rosy,1
327,Elattaria,"rosy refreshing and wet"" seashore""",1
327,Elattaria,sharp persistent odor,1
327,Elattaria,slight,1
327,Elattaria,slightly medicinal odor reminiscent of thyme@aromatic odor,1
327,Elattaria,slightly pungent disagreeable,1
327,Elattaria,slightly spicy odor@banana-like fruity odor,1
327,Elattaria,somewhat green and remotely lavender-like odor of moderate tenacity.@sweet,1
327,Elattaria,somewhat like peppermint,1
327,Elattaria,somewhat resembling the odor of benzaldehyde@... almond-like odor ...,1
327,Elattaria,spice-clove odor,1
327,Elattaria,spicy,1
327,Elattaria,spicy note@strong odor of cinnamon,1
327,Elattaria,strong,1
327,Elattaria,strong odor,1
327,Elattaria,suffocating,1
327,Elattaria,sweet,1
327,Elattaria,sweet odor@floral,1
327,Elattaria,sweet rose odor@pleasant geranium-like odor@pleasant,1
327,Elattaria,sweet rose@the odor of pure nerol is sweet,1
327,Elattaria,sweetish aromatic odor@mild pleasant odor@when pure,1
327,Elattaria,sweetish smell@pleasant aromatic vanilla odor,1
327,Elattaria,synthetic acid is odorless,1
327,Elattaria,the odor should be faint with no rancidity.,1
327,Elattaria,turpentine-like odor@terpene odor,1
327,Elattaria,unpleasant odor@disagreeable odor like garlic@pungent,1
327,Elattaria,unpleasant@choking odor,1
327,Elattaria,waxy,1
327,Elattaria,wine-like,1
327,Elattaria,wood odor@flowery-fresh odor and reminiscent of lily of the valley,1
327,Elattaria,woody,1
327,Elattaria,woody or resinous aroma@piney,1
331,Syzygium,fatty,3
331,Syzygium,floral odor,3
331,Syzygium,odorless,3
331,Syzygium,pungent,3
331,Syzygium,characteristic,2
331,Syzygium,floral,2
331,Syzygium,fruity,2
331,Syzygium,fruity odor,2
331,Syzygium,odor of hyacinth@pleasant,2
331,Syzygium,pleasant,2
331,Syzygium,powerful,2
331,Syzygium,slight,2
331,Syzygium,slight peppermint odor@characteristic odor similar to menthol,2
331,Syzygium,spicy,2
331,Syzygium,strong lemon odor,2
331,Syzygium,...floral-fruity odor,1
331,Syzygium,acetone odor,1
331,Syzygium,acetone-like odor@sweet,1
331,Syzygium,acrid odor,1
331,Syzygium,aldehyde odor,1
331,Syzygium,almond-like odor.,1
331,Syzygium,almost floral odor when highly purified,1
331,Syzygium,also similar to cananga@medicinal odor,1
331,Syzygium,and orange-like odor,1
331,Syzygium,anise oil odor,1
331,Syzygium,apple-like odor@powerful penetrating,1
331,Syzygium,aromatic odor,1
331,Syzygium,aromatic odor@odor of mothballs@characteritic odor (plates),1
331,Syzygium,bitter,1
331,Syzygium,burnt sweet@hot fat@disagreeable choking odor,1
331,Syzygium,but more pungent,1
331,Syzygium,buttery,1
331,Syzygium,carnation odor,1
331,Syzygium,characteristic acetone like odor,1
331,Syzygium,characteristic ether-like odor reminiscent of pineapple.@fragrant odor@ether-like,1
331,Syzygium,characteristic fruity odor (on dilution)@strong,1
331,Syzygium,characteristic odor of pine@odor of turpentine,1
331,Syzygium,characteristic odor or volatile oil of almond@odor resembling oil of bitter almond,1
331,Syzygium,characteristic rose-like odor@pure pea has an extremely mild roselike odor. >@99% pure vary in odor because of the impurities present.,1
331,Syzygium,characteristic sweetish,1
331,Syzygium,characteristic turpentine odor@dry,1
331,Syzygium,citrus odor,1
331,Syzygium,decayed cabbage.,1
331,Syzygium,delicate flowery odor@mild,1
331,Syzygium,disagreeable,1
331,Syzygium,disagreeable odor@disagreeable odor.,1
331,Syzygium,distinctive ethereal odor,1
331,Syzygium,extremely sharp@extremely acrid,1
331,Syzygium,extremely sharp@pungent odor,1
331,Syzygium,faint aromatic odor,1
331,Syzygium,faint burning odor,1
331,Syzygium,faint pleasant aromatic odor,1
331,Syzygium,fish-like odor when warm,1
331,Syzygium,floral odor@has a sweet honey-like odor when diluted@the odor of the concentrated solution is suffocating and unpleasant.,1
331,Syzygium,floral-fruity odor recalling bergamot and pear.,1
331,Syzygium,fragrant,1
331,Syzygium,fragrant odor,1
331,Syzygium,fragrant odor resembling that of vanilla beans.@hay-like bittersweet odor,1
331,Syzygium,fragrant odor@fruity odor,1
331,Syzygium,fresh and light,1
331,Syzygium,fresh orange rose odor@penetrating aromatic odor,1
331,Syzygium,fruity (unripe apple)@pleasant,1
331,Syzygium,fruity odor reminiscent of jasmin,1
331,Syzygium,fruity odor@characteristic odor,1
331,Syzygium,fruity odor@fruity with a brandy note,1
331,Syzygium,fruity-floral,1
331,Syzygium,fruity@characteristic odor similar to acetaldehyde@pungent,1
331,Syzygium,gardenia,1
331,Syzygium,green,1
331,Syzygium,green cheese aroma@floral,1
331,Syzygium,green grass odor@sharp,1
331,Syzygium,like almond@... bitter,1
331,Syzygium,lilac,1
331,Syzygium,lily and other flowers.,1
331,Syzygium,liquid having the characteristic odor of wintergreen,1
331,Syzygium,mild-spicy,1
331,Syzygium,mint- or acetone-like odor,1
331,Syzygium,muguet,1
331,Syzygium,mustard-like odor,1
331,Syzygium,odor of cloves@warm,1
331,Syzygium,odor of lavender@sweet,1
331,Syzygium,odor of rotten cabbage@sulfidy@powerful,1
331,Syzygium,odor of thyme@a spicy-herbal,1
331,Syzygium,odor reminiscent of anise (differing from anethole),1
331,Syzygium,odor similar to that of bergamot oil and french lavender@typical floral odor free from camphoraceous and terpenic notes@floral,1
331,Syzygium,odorless or with a slight benzaldehyde odor@faint,1
331,Syzygium,odorless@weak unpleasant odor@available forms have very slightly acrid odor,1
331,Syzygium,oily@weak citrus-lime odor,1
331,Syzygium,or having an odor resembling that of ozone@... slightly sharp odor ...,1
331,Syzygium,otherwise exhibits characteristic odor of feces@unpleasant odor in high concentration but pleasant in dilute solution.@light jasmine odor,1
331,Syzygium,pear-like odor@characteristic flowery (jasmine) odor@powerful but thin,1
331,Syzygium,peculiar odor,1
331,Syzygium,penetrating fruity odor@characteristic banana,1
331,Syzygium,peppermint odor /dl-menthol/@cooling odor /89-78-1/,1
331,Syzygium,pine,1
331,Syzygium,pleasant odor,1
331,Syzygium,pleasant odor@fragrant,1
331,Syzygium,pleasant@terpene odor,1
331,Syzygium,pungent odor of acacia@orange blossom or jasmine-like,1
331,Syzygium,pungent odor@penetrating fruity odor,1
331,Syzygium,pungent@moderately sharp,1
331,Syzygium,quinone odor@vapors have a chlorine-like odor@very strong buttery odor in dilute solution@strong odor,1
331,Syzygium,rancid odor@faint tallow-like odor when spectroscopically pure.,1
331,Syzygium,reminiscent of bergamot and it also has some pear character@bergamot-lavender odor@sweet,1
331,Syzygium,rosy,1
331,Syzygium,sharp persistent odor,1
331,Syzygium,slightly herbal odor@clove,1
331,Syzygium,slightly medicinal odor reminiscent of thyme@aromatic odor,1
331,Syzygium,slightly spicy odor@banana-like fruity odor,1
331,Syzygium,soln of good grades are practically odorless@almost odorless,1
331,Syzygium,somewhat green and remotely lavender-like odor of moderate tenacity.@sweet,1
331,Syzygium,somewhat like peppermint,1
331,Syzygium,somewhat resembling the odor of benzaldehyde@... almond-like odor ...,1
331,Syzygium,spice-clove odor,1
331,Syzygium,spicy note@strong odor of cinnamon,1
331,Syzygium,strong,1
331,Syzygium,strong odor,1
331,Syzygium,suffocating,1
331,Syzygium,sweet,1
331,Syzygium,sweet floral fresh,1
331,Syzygium,sweet rose odor@pleasant geranium-like odor@pleasant,1
331,Syzygium,sweetish smell@pleasant aromatic vanilla odor,1
331,Syzygium,synthetic acid is odorless,1
331,Syzygium,thymol odor@medicinal smoke odor,1
331,Syzygium,turpentine-like odor@terpene odor,1
